Mme/M,Députés,id,photo,Groupe,Ministre,Fonction,Partis,Précision,Téléphone / Portable,Mail,Départements,Circonscription,Tribune Le Monde signataires interdiction glyphosate,Co-signataires amendement Mathieu Oprhelin,1er scrutin Absent / Présent,Pour/Contre,2ème scrutin Absent / Présent,Pour/Contre,SCRUTIN ENVOYE SPECIAL
M.,Christophe Blanchet,omc_pa719024,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719024.jpg,La République en Marche,,,LREM,,01 40 63 03 12,secretariat-blanchet@assemblee-nationale.fr  christophe.blanchet@assemblee-nationale.fr,Calvados,4,,,,,,,
M.,Bertrand Bouyx,omc_pa719032,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719032.jpg,La République en Marche,,,LREM,,01 40 63 04 15,bertrand.bouyx@assemblee-nationale.fr,Calvados,5,,,Présent,Contre,,,
Mme,Nadia Essayan,omc_pa719044,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719044.jpg,Mouvement Démocrate et apparentés,,,MODEM,,01 40 63 75 03,nadia.essayan@assemblee-nationale.fr,Cher,2,,,,,,,CONTRE
M.,Loïc Kervran,omc_pa719052,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719052.jpg,La République en Marche,,,LREM,,01 40 63 76 63,loic.kervran@assemblee-nationale.fr ,Cher,3,,,,,,,
M.,Christophe Jerretie,omc_pa719060,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719060.jpg,La République en Marche,,,LREM,,01 40 63 31 18,christophe.jerretie@assemblee-nationale.fr,Corrèze,1,,,,,,,
M.,Thomas Mesnier,omc_pa719072,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719072.jpg,La République en Marche,,,LREM,,01 40 63 69 75,thomas.mesnier@assemblee-nationale.fr,Charente,1,,,,,,,CONTRE
Mme,Sandra Marsaud,omc_pa719080,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719080.jpg,La République en Marche,,,LREM,,01 40 63 75 63,sandra.marsaud@assemblee-nationale.fr,Charente,2,,SIGNATAIRE,,,,,
Mme,Frédérique Tuffnell,omc_pa719092,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719092.jpg,La République en Marche,,,LREM,,01 40 63 73 33,frederique.tuffnell@assemblee-nationale.fr,Charente-Maritime,2,,,,,,,POUR
M.,Jean-Philippe Ardouin,omc_pa719100,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719100.jpg,La République en Marche,,,LREM,,01 40 63 73 37,jean-philippe.ardouin@assemblee-nationale.fr,Charente-Maritime,3,,,,,,,
M.,Raphaël Gérard,omc_pa719108,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719108.jpg,La République en Marche,,,LREM,,01 40 63 93 07,raphael.gerard@assemblee-nationale.fr,Charente-Maritime,4,,,,,,,
M.,François Cormier-Bouligeon,omc_pa719118,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719118.jpg,La République en Marche,,,LREM,,01 40 63 73 22,francois.cormier-bouligeon@assemblee-nationale.fr,Cher,1,,,,,,,
Mme,Monica Michel,omc_pa719130,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719130.jpg,La République en Marche,,,LREM,,01 40 63 31 05,monica.michel@assemblee-nationale.fr  mg.michel3@icloud.com,Bouches-du-Rhône,16,,,,,,,
M.,Michel Castellani,omc_pa719138,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719138.jpg,Libertés et Territoires,,,NI,Régions et peuples solidaires,01 40 63 01 15,michel.castellani@assemblee-nationale.fr,Haute-Corse,1,,,,,,,
M.,Jean-Félix Acquaviva,omc_pa719146,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719146.jpg,Libertés et Territoires,,,NI,Régions et peuples solidaires,04 95 61 15 89 ( TEL en circ.),jean-felix.acquaviva@assemblee-nationale.fr,Haute-Corse,2,,,,,,,POUR
M.,Didier Martin,omc_pa719154,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719154.jpg,La République en Marche,,,LREM,,01 40 63 06 06,didier.martin@assemblee-nationale.fr,Côte-d'Or,1,,,,,PRESENT,POUR,POUR
Mme,Jacqueline Dubois,omc_pa719162,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719162.jpg,La République en Marche,,,LREM,,01 40 63 73 65,jacquelinedubois24@gmail.com OU jacqueline.dubois@assemblee-nationale.fr,Dordogne,4,SIGNATAIRE,,,,,,CONTRE
Mme,Fannette Charvier,omc_pa719170,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719170.jpg,La République en Marche,,,LREM,,01 40 63 73 68,fannette.charvier@assemblee-nationale.fr,Doubs,1,SIGNATAIRE,SIGNATAIRE,Présent,Pour,,,
Mme,Fadila Khattabi,omc_pa719186,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719186.jpg,La République en Marche,,,LREM,,01 40 63 02 07,fadila.khattabi@assemblee-nationale.fr,Côte-d'Or,3,,,,,PRESENT,POUR,POUR
Mme,Yolaine de Courson,omc_pa719194,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719194.jpg,La République en Marche,,,LREM,,01 40 63 02 08,yolaine.decourson@assemblee-nationale.fr,Côte-d'Or,4,SIGNATAIRE,,,,,,
M.,Didier Paris,omc_pa719202,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719202.jpg,La République en Marche,,,LREM,,01 40 63 04 04,didier.paris@assemblee-nationale.fr,Côte-d'Or,5,,,,,,,CONTRE
M.,Bruno Joncour,omc_pa719210,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719210.jpg,Mouvement Démocrate et apparentés,,,MODEM,,01 40 63 92 09,bruno.joncour@assemblee-nationale.fr,Côtes-d'Armor,1,,,,,,,CONTRE
M.,Hervé Berville,omc_pa719218,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719218.jpg,La République en Marche,,,LREM,,Pas de tel,herve.berville@en-marche.fr  herve.berville@assemblee-nationale.fr,Côtes-d'Armor,2,,,,,,,
M.,Yannick Kerlogot,omc_pa719230,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719230.jpg,La République en Marche,,,LREM,,01 40 63 73 69,yannick.kerlogot@assemblee-nationale.fr,Côtes-d'Armor,4,SIGNATAIRE,SIGNATAIRE,,,,,
M.,Jean-Baptiste Moreau,omc_pa719242,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719242.jpg,La République en Marche,,,LREM,,01 40 63 73 56,j-b.moreau@wanadoo.fr  jean-baptiste.moreau@assemblee-nationale.fr,Creuse,1,,,Présent,Contre,PRESENT,CONTRE,NE VEUT PAS REPONDRE
M.,Philippe Chassaing,omc_pa719250,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719250.jpg,La République en Marche,,,LREM,,01 40 63 73 60,philippe.chassaing@assemblee-nationale.fr,Dordogne,1,,,,,PRESENT,POUR,
M.,Michel Delpon,omc_pa719258,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719258.jpg,La République en Marche,,,LREM,,01 40 63 73 63,michel.delpon@assemblee-nationale.fr,Dordogne,2,,,Présent,Abstention,,,
M.,Jean-Pierre Cubertafon,omc_pa719266,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719266.jpg,Mouvement Démocrate et apparentés,,,MODEM,,01 40 63 75 17,jean-pierre.cubertafon@assemblee-nationale.fr  jpcubertafon@orange.fr,Dordogne,3,,,,,,,
Mme,Frédérique Meunier,omc_pa719272,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719272.jpg,Les Républicains,,,LR,,PAS DE TEL,frederique.meunier@assemblee-nationale.fr,Corrèze,2,,,,,,,
M.,Paul-André Colombani,omc_pa719286,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719286.jpg,Libertés et Territoires,,,NI,Régions et peuples solidaires,01 40 63 01 01,paul-andre.colombani@assemblee-nationale.fr,Corse-du-Sud,2,,,,,,,POUR
Mme,Mireille Clapot,omc_pa719294,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719294.jpg,La République en Marche,,,LREM,,01 40 63 73 78,mireille.clapot@assemblee-nationale.fr,Drôme,1,SIGNATAIRE,,,,,,
Mme,Alice Thourot,omc_pa719302,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719302.jpg,La République en Marche,,,LREM,,01 40 63 73 21,alice.thourot@assemblee-nationale.fr,Drôme,2,,,,,,,CONTRE
Mme,Célia de Lavergne,omc_pa719310,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719310.jpg,La République en Marche,,,LREM,,01 40 63 73 82,celia.delavergne@assemblee-nationale.fr,Drôme,3,,,,,PRESENT,CONTRE,
Mme,Emmanuelle Anthoine,omc_pa719318,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719318.jpg,Les Républicains,,,LR,,01 40 63 33 07,emmanuelle.anthoine@assemblee-nationale.fr,Drôme,4,,,Présent,Contre,,,
Mme,Séverine Gipson,omc_pa719326,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719326.jpg,La République en Marche,,,LREM,,01.40.63.66.03,severine.gipson@assemblee-nationale.fr,Eure,1,,,Présent,Contre,,,
M.,Fabien Gouttefarde,omc_pa719330,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719330.jpg,La République en Marche,,,LREM,,01 40 63 68 18,fabien.gouttefarde@assemblee-nationale.fr,Eure,2,,,,,,,CONTRE
Mme,Graziella Melchior,omc_pa719338,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719338.jpg,La République en Marche,,,LREM,,01 40 63 74 81,graziella.melchior@assemblee-nationale.fr,Finistère,5,,,Présent,Contre,PRESENT,CONTRE,
Mme,Marie Tamarelle-Verhaeghe,omc_pa719350,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719350.jpg,La République en Marche,,,LREM,,01 40 63 68 20,marie.tamarelle@assemblee-nationale.fr,Eure,3,,,,,,,
Mme,Claire O'Petit,omc_pa719364,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719364.jpg,La République en Marche,,,LREM,,01 40 63 03 01,claire.opetit@assemblee-nationale.fr,Eure,5,,,,,,,NE VEUT PAS REPONDRE
M.,Guillaume Kasbarian,omc_pa719372,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719372.jpg,La République en Marche,,,LREM,,01 40 63 93 01,guillaume.kasbarian@assemblee-nationale.fr,Eure-et-Loir,1,,,Présent,Contre,PRESENT,CONTRE,
Mme,Annaïg Le Meur,omc_pa719388,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719388.jpg,La République en Marche,,,LREM,,01 40 63 74 02,annaig.lemeur@assemblee-nationale.fr,Finistère,1,SIGNATAIRE,,,,,,
M.,Jean-Charles Larsonneur,omc_pa719396,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719396.jpg,La République en Marche,,,LREM,,01 40 63 74 06,jean-charles.larsonneur@assemblee-nationale.fr,Finistère,2,SIGNATAIRE,,Présent,Pour,,,
M.,Didier Le Gac,omc_pa719404,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719404.jpg,La République en Marche,,,LREM,,01 40 63 74 08,didier.legac@assemblee-nationale.fr,Finistère,3,,,,,,,
Mme,Sandrine Le Feur,omc_pa719412,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719412.jpg,La République en Marche,,,LREM,,01 40 63 74 10,sandrine.lefeur@assemblee-nationale.fr,Finistère,4,SIGNATAIRE,SIGNATAIRE,Présent,Pour,PRESENT,ABSTENTION,
M.,Denis Sommer,omc_pa719420,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719420.jpg,La République en Marche,,,LREM,,PAS DE TEL,denis.sommer@assemblee-nationale.fr,Doubs,3,SIGNATAIRE,SIGNATAIRE,,,,,
M.,Anthony Cellier,omc_pa719440,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719440.jpg,La République en Marche,,,LREM,,01 40 63 74 33,anthony.cellier@assemblee-nationale.fr,Gard,3,,,,,,,
Mme,Annie Chapelier,omc_pa719448,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719448.jpg,La République en Marche,,,LREM,,01 40 63 74 34,annie.chapelier@en-marche.fr  annie.chapelier@assemblee-nationale.fr,Gard,4,SIGNATAIRE,,,,,,
Mme,Sandrine Mörch,omc_pa719456,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719456.jpg,La République en Marche,,,LREM,,01 40 63 67 65,sandrine.morch@assemblee-nationale.fr,Haute-Garonne,9,SIGNATAIRE,,Présent,Pour,,,
M.,Sébastien Nadot,omc_pa719464,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719464.jpg,La République en Marche,,,LREM,,01 40 63 74 48,sebastien.nadot@assemblee-nationale.fr,Haute-Garonne,10,,SIGNATAIRE,,,,,CONTRE
M.,Jean-René Cazeneuve,omc_pa719472,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719472.jpg,La République en Marche,,,LREM,,01 40 63 74 39,jean-rene.cazeneuve@assemblee-nationale.fr,Gers,1,,,,,,,
M.,Olivier Gaillard,omc_pa719480,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719480.jpg,La République en Marche,,,LREM,,01 40 63 74 37,olivier.gaillard@assemblee-nationale.fr,Gard,5,,,Présent,Contre,,,POUR
M.,Philippe Berta,omc_pa719488,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719488.jpg,Mouvement Démocrate et apparentés,,,MODEM,,01 40 63 75 25,philippeberta30@gmail.com  philippe.berta@assemblee-nationale.fr,Gard,6,,,,,,,CONTRE
M.,Pierre Cabaré,omc_pa719496,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719496.jpg,La République en Marche,,,LREM,,01 40 63 74 46,pierre.cabare@assemblee-nationale.fr,Haute-Garonne,1,,,,,,,
M.,Jean-Luc Lagleize,omc_pa719504,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719504.jpg,Mouvement Démocrate et apparentés,,,MODEM,,01 40 63 75 85,jean-luc.lagleize@assemblee-nationale.fr,Haute-Garonne,2,,,,,,,CONTRE
Mme,Corinne Vignon,omc_pa719512,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719512.jpg,La République en Marche,,,LREM,,01 40 63 93 11,corinne.vignon@assemblee-nationale.fr,Haute-Garonne,3,,,,,,,
M.,Mickaël Nogal,omc_pa719520,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719520.jpg,La République en Marche,,,LREM,,01 40 63 74 51,mickael.nogal@assemblee-nationale.fr,Haute-Garonne,4,,,,,,,
M.,Jean-François Portarrieu,omc_pa719528,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719528.jpg,La République en Marche,,,LREM,,01 40 63 74 52,jean-francois.portarrieu@assemblee-nationale.fr,Haute-Garonne,5,,,,,,,
Mme,Élisabeth Toutut-Picard,omc_pa719540,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719540.jpg,La République en Marche,,,LREM,,01 40 63 93 12,elisabeth.toutut-picard@assemblee-nationale.fr,Haute-Garonne,7,,SIGNATAIRE,Présent,Pour,,,POUR
Mme,Liliana Tanguy,omc_pa719550,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719550.jpg,La République en Marche,,,LREM,,01 40 63 94 04,liliana.tanguy@assemblee-nationale.fr,Finistère,7,,,,,,,
M.,Erwan Balanant,omc_pa719558,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719558.jpg,Mouvement Démocrate et apparentés,,,MODEM,,01 40 63 67 13,erwan.balanant@assemblee-nationale.fr,Finistère,8,,,,,,,POUR
Mme,Catherine Fabre,omc_pa719570,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719570.jpg,La République en Marche,,,LREM,,01 40 63 95 08,catherine.fabre@assemblee-nationale.fr,Gironde,2,SIGNATAIRE,,,,,,
M.,Loïc Prud'homme,omc_pa719578,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719578.jpg,La France insoumise,,,LFI,,01 40 63 71 18,loic.prudhomme@assemblee-nationale.fr,Gironde,3,,,Présent,Pour,,,POUR
M.,Benoit Simian,omc_pa719592,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719592.jpg,La République en Marche,,,LREM,,01 40 63 04 13,benoit.simian@assemblee-nationale.fr,Gironde,5,,,,,,,
M.,Éric Poulliat,omc_pa719600,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719600.jpg,La République en Marche,,,LREM,,01 40 63 04 03,eric.poulliat@assemblee-nationale.fr,Gironde,6,,,,,,,POUR
Mme,Emmanuelle Ménard,omc_pa719608,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719608.jpg,Non inscrit,,,NI,RN,01.40.63.01.59,emmanuelle.menard@assemblee-nationale.fr,Hérault,6,,,,,PRESENT,ABSTENTION,ABSTENTION
M.,Christophe Euzet,omc_pa719616,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719616.jpg,La République en Marche,,,LREM,,01 40 63 74 85,christophe.euzet@assemblee-nationale.fr,Hérault,7,,,,,,,
Mme,Bérangère Couillard,omc_pa719624,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719624.jpg,La République en Marche,,,LREM,,01 40 63 73 46,berangere.couillard@assemblee-nationale.fr,Gironde,7,,,,,,,NE VEUT PAS REPONDRE
Mme,Sophie Panonacle,omc_pa719632,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719632.jpg,La République en Marche,,,LREM,,01 40 63 93 03,sophie.panonacle@assemblee-nationale.fr,Gironde,8,SIGNATAIRE,SIGNATAIRE,,,,,
Mme,Sophie Mette,omc_pa719640,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719640.jpg,Mouvement Démocrate et apparentés,,,MODEM,,01 40 63 67 09,sophie.mette@assemblee-nationale.fr,Gironde,9,,,Présent,Contre,,,
Mme,Véronique Hammerer,omc_pa719652,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719652.jpg,La République en Marche,,,LREM,,05.57.94.48.94 ( Permanence a Pugnac ),veronique.hammerer@assemblee-nationale.fr,Gironde,11,,,Présent,Contre,,,
M.,Pascal Lavergne,omc_pa719664,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719664.jpg,La République en Marche,Christelle Dubos,,LREM,,01 40 63 31 16,christelle.dubos@assemblee-nationale.fr,Gironde,12,,,,,PRESENT,CONTRE,
Mme,Patricia Mirallès,omc_pa719668,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719668.jpg,La République en Marche,,,LREM,,01 40 63 74 74,patricia.miralles@assemblee-nationale.fr,Hérault,1,SIGNATAIRE,,,,,,CONTRE
Mme,Muriel Ressiguier,omc_pa719676,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719676.jpg,La France insoumise,,,LFI,,01 40 63 72 22,muriel.ressiguier@assemblee-nationale.fr,Hérault,2,,,,,,,POUR
Mme,Coralie Dubost,omc_pa719684,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719684.jpg,La République en Marche,,,LREM,,01 40 63 74 75,coralie.dubost@assemblee-nationale.fr,Hérault,3,,,,,PRESENT,CONTRE,
M.,Jean-François Eliaou,omc_pa719692,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719692.jpg,La République en Marche,,,LREM,,01 40 63 74 78,jean-francois.eliaou@assemblee-nationale.fr,Hérault,4,,,,,,,CONTRE
M.,Philippe Huppé,omc_pa719700,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719700.jpg,La République en Marche,,,LREM,,01 40 63 74 82,philippe.huppe@assemblee-nationale.fr,Hérault,5,,,Présent,Contre,,,
Mme,Dominique David,omc_pa719710,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719710.jpg,La République en Marche,,,LREM,,01 40 63 95 07,dominique.david@assemblee-nationale.fr,Gironde,1,,,,,,,
Mme,Laurence Maillart-Méhaignerie,omc_pa719718,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719718.jpg,La République en Marche,,,LREM,,01 40 63 95 12,laurence.maillart-mehaignerie@assemblee-nationale.fr,Ille-et-Vilaine,2,SIGNATAIRE,,Présent,Contre,PRESENT,CONTRE,
M.,Gaël Le Bohec,omc_pa719728,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719728.jpg,La République en Marche,,,LREM,,01 40 63 62 27,gael.lebohec@assemblee-nationale.fr,Ille-et-Vilaine,4,SIGNATAIRE,,,,,,
M.,Jean-Charles Colas-Roy,omc_pa719740,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719740.jpg,La République en Marche,,,LREM,,01 40 63 32 03,jean-charles.colas-roy@assemblee-nationale.fr,Isère,2,SIGNATAIRE,,,,,,
Mme,Émilie Chalas,omc_pa719748,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719748.jpg,La République en Marche,,,LREM,,01 40 63 68 17,emilie.chalas@assemblee-nationale.fr,Isère,3,SIGNATAIRE,,,,,,
Mme,Christine Cloarec,omc_pa719756,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719756.jpg,La République en Marche,,,LREM,,01 40 63 94 02,christine.cloarec@assemblee-nationale.fr,Ille-et-Vilaine,5,,,,,,,CONTRE
M.,Florian Bachelier,omc_pa719770,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719770.jpg,La République en Marche,,,LREM,,01 40 63 63 02,florian.bachelier@assemblee-nationale.fr ,Ille-et-Vilaine,8,,,Présent,Contre,PRESENT,CONTRE,
M.,François Jolivet,omc_pa719778,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719778.jpg,La République en Marche,,,LREM,,01 40 63 60 32,francois.jolivet@assemblee-nationale.fr,Indre,1,,,,,,,
M.,Philippe Chalumeau,omc_pa719790,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719790.jpg,La République en Marche,,,LREM,,01 40 63 48 09,philippe.chalumeau@assemblee-nationale.fr,Indre-et-Loire,1,,SIGNATAIRE,,,,,
M.,Daniel Labaronne,omc_pa719798,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719798.jpg,La République en Marche,,,LREM,,01 40 63 75 48,daniel.labaronne@assemblee-nationale.fr,Indre-et-Loire,2,,,,,,,POUR ( SUPPOSITION)
Mme,Sophie Auconie,omc_pa719806,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719806.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,01 40 63 71 30,sophie.auconie@assemblee-nationale.fr,Indre-et-Loire,3,,,Présent,Contre,,,NE VEUT PAS REPONDRE
Mme,Fabienne Colboc,omc_pa719814,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719814.jpg,La République en Marche,,,LREM,,01 40 63 95 26,fabienne.colboc@assemblee-nationale.fr,Indre-et-Loire,4,,,,,PRESENT,CONTRE,
Mme,Sabine Thillaye,omc_pa719822,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719822.jpg,La République en Marche,,,LREM,,01 40 63 43 34,sabine.thillaye@assemblee-nationale.fr,Indre-et-Loire,5,,,,,,,
M.,Nicolas Démoulin,omc_pa719830,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719830.jpg,La République en Marche,,,LREM,,01 40 63 74 87,nicolas.demoulin@assemblee-nationale.fr,Hérault,8,,,Présent,Contre,,,
M.,Mustapha Laabid,omc_pa719842,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719842.jpg,La République en Marche,,,LREM,,01 40 63 31 13,mustapha.laabid@assemblee-nationale.fr,Ille-et-Vilaine,1,,,,,,,
Mme,Cendra Motin,omc_pa719850,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719850.jpg,La République en Marche,,,LREM,,01 40 63 51 85,cendra.motin@assemblee-nationale.fr,Isère,6,,,,,PRESENT,CONTRE,CONTRE
Mme,Monique Limon,omc_pa719858,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719858.jpg,La République en Marche,,,LREM,,01 40 63 02 06,monique.limon@assemblee-nationale.fr,Isère,7,,,Présent,Contre,PRESENT,CONTRE,
Mme,Caroline Abadie,omc_pa719866,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719866.jpg,La République en Marche,,,LREM,,01. 40. 63. 68. 65,caroline.abadie@assemblee-nationale.fr,Isère,8,,,,,,,
Mme,Élodie Jacquier-Laforge,omc_pa719874,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719874.jpg,Mouvement Démocrate et apparentés,,,MODEM,,01 40 63 67 41,elodie.jacquier-laforge@assemblee-nationale.fr,Isère,9,,,,,,,CONTRE
Mme,Marjolaine Meynier-Millefert,omc_pa719882,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719882.jpg,La République en Marche,,,LREM,,01 40 63 32 01,mmeyniermillefert@gmail.com  marjolaine.meynier-millefert@assemblee-nationale.fr,Isère,10,SIGNATAIRE,SIGNATAIRE,,,,,
Mme,Danielle Brulebois,omc_pa719890,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719890.jpg,La République en Marche,,,LREM,,01 40 63 69 06,danielle.brulebois@assemblee-nationale.fr,Jura,1,SIGNATAIRE,,,,,,
M.,Mounir Belhamiti,omc_pa719910,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719910.jpg,La République en Marche,François de Rugy,,LREM,,01 40 63 51 81,francois.derugy@assemblee-nationale.fr,Loire-Atlantique,1,,,Présent,Non-votant,,NON-VOTANT,
M.,Fabien Lainé,omc_pa719918,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719918.jpg,Mouvement Démocrate et apparentés,,,MODEM,,Pas de Tel,fabien.laine@assemblee-nationale.fr,Landes,1,,,,,,,CONTRE
M.,Lionel Causse,omc_pa719922,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719922.jpg,La République en Marche,,,LREM,,01 40 63 75 56,lionel.causse@assemblee-nationale.fr,Landes,2,SIGNATAIRE,SIGNATAIRE,,,,,
M.,Boris Vallaud,omc_pa719930,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719930.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,01 40 63 68 96,boris.vallaud@assemblee-nationale.fr,Landes,3,,,,,PRESENT,POUR,POUR
M.,Stéphane Baudu,omc_pa719942,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719942.jpg,Mouvement Démocrate et apparentés,Marc Fesneau,,MODEM,,01 40 63 67 02,marc.fesneau@assemblee-nationale.fr,Loir-et-Cher,1,,,Présent,Contre,,,
M.,Guillaume Peltier,omc_pa719946,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719946.jpg,Les Républicains,,,LR,,01 40 63 67 86,guillaume.peltier@assemblee-nationale.fr,Loir-et-Cher,2,,,,,,,
M.,Jean-Michel Mis,omc_pa719952,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719952.jpg,La République en Marche,,,LREM,,04 77 42 80 15,jean-michel.mis@assemblee-nationale.fr,Loire,2,,,,,,,POUR
Mme,Valéria Faure-Muntian,omc_pa719960,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719960.jpg,La République en Marche,,,LREM,,01 40 63 48 12,valeria.faure-muntian@assemblee-nationale.fr,Loire,3,,,Présent,Contre,,,NE VEUT PAS REPONDRE
Mme,Nathalie Sarles,omc_pa719972,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719972.jpg,La République en Marche,,,LREM,,01 40 63 48 13,nathalie.sarles@assemblee-nationale.fr,Loire,5,SIGNATAIRE,SIGNATAIRE,Présent,Pour,,,NE VEUT PAS REPONDRE
M.,Julien Borowczyk,omc_pa719980,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719980.jpg,La République en Marche,,,LREM,,01 40 63 48 14,julien.borowczyk@assemblee-nationale.fr,Loire,6,,,,,,,
Mme,Catherine Kamowski,omc_pa719994,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719994.jpg,La République en Marche,,,LREM,,01 40 63 32 04,catherine.kamowski@assemblee-nationale.fr  circo3805@gmail.com,Isère,5,,,,,,,
